Color Names (2)
Processed Color Name,Plate,Color or Hue Number,Tone,Link to Plate,Static Image Link
Absinthe Green,XXXI,29′′,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXXI,https://www.gutenberg.org/files/63087/63087-h/images/xxxi_29pp___absinthe_green.jpg
Acajou Red,XIII,1′,i,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XIII,https://www.gutenberg.org/files/63087/63087-h/images/xiii_1p_i_acajou_red.jpg
Acetin Blue,XXXV,49′′,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXXV,https://www.gutenberg.org/files/63087/63087-h/images/xxxv_49pp_k_acetin_blue.jpg
Ackermann's Green,XVIII,35′,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XVIII,https://www.gutenberg.org/files/63087/63087-h/images/xviii_35p_k_ackermannps_green.jpg
Aconite Violet,XXXVII,63′′,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXXVII,https://www.gutenberg.org/files/63087/63087-h/images/xxxvii_63pp___aconite_violet.jpg
Ageratum Violet,XXXVII,63′′,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXXVII,https://www.gutenberg.org/files/63087/63087-h/images/xxxvii_63pp_b_ageratum_violet.jpg
Alice Blue,XXXIV,45′′,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXXIV,https://www.gutenberg.org/files/63087/63087-h/images/xxxiv_45pp_b_alice_blue.jpg
Alizarine Blue,XXI,51′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXI,https://www.gutenberg.org/files/63087/63087-h/images/xxi_51p_m_alizarine_blue.jpg
Alizarine Pink,XIII,1′,d,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XIII,https://www.gutenberg.org/files/63087/63087-h/images/xiii_1p_d_alizarine_pink.jpg
Amaranth Pink,XII,69,d,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XII,https://www.gutenberg.org/files/63087/63087-h/images/xii_69_d_amaranth_pink.jpg
Amaranth Purple,XII,69,i,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XII,https://www.gutenberg.org/files/63087/63087-h/images/xii_69_i_amaranth_purple.jpg
Amber Brown,III,13,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_III,https://www.gutenberg.org/files/63087/63087-h/images/iii_13_k_amber_brown.jpg
Amber Yellow,XVI,21′,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XVI,https://www.gutenberg.org/files/63087/63087-h/images/xvi_21p_b_amber_yellow.jpg
American Green,XLI,33′′′,i,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLI,https://www.gutenberg.org/files/63087/63087-h/images/xli_33ppp_i_american_green.jpg
Amethyst Violet,XI,61,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XI,https://www.gutenberg.org/files/63087/63087-h/images/xi_61___amethyst_violet.jpg
Amparo Blue,IX,51,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_IX,https://www.gutenberg.org/files/63087/63087-h/images/ix_51_b_amparo_blue.jpg
Amparo Purple,XI,63,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XI,https://www.gutenberg.org/files/63087/63087-h/images/xi_63_b_amparo_purple.jpg
Andover Green,XLVII,25′′′′,i,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLVII,https://www.gutenberg.org/files/63087/63087-h/images/xlvii_25pppp_i_andover_green.jpg
Aniline Black,L,69′′′′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_L,https://www.gutenberg.org/files/63087/63087-h/images/l_69pppp_m_aniline_black.jpg
Aniline Lilac,XXXV,53′′,d,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXXV,https://www.gutenberg.org/files/63087/63087-h/images/xxxv_53pp_d_aniline_lilac.jpg
Aniline Yellow,IV,19,i,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_IV,https://www.gutenberg.org/files/63087/63087-h/images/iv_19_i_aniline_yellow.jpg
Anthracene Green,VII,39,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_VII,https://www.gutenberg.org/files/63087/63087-h/images/vii_39_m_anthracene_green.jpg
Anthracene Purple,XLIV,69′′′,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLIV,https://www.gutenberg.org/files/63087/63087-h/images/xliv_69ppp_k_anthracene_purple.jpg
Anthracene Violet,XXV,61′,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXV,https://www.gutenberg.org/files/63087/63087-h/images/xxv_61p_k_anthracene_violet.jpg
Antimony Yellow,XV,17′,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XV,https://www.gutenberg.org/files/63087/63087-h/images/xv_17p_b_antimony_yellow.jpg
Antique Brown,III,17,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_III,https://www.gutenberg.org/files/63087/63087-h/images/iii_17_k_antique_brown.jpg
Antique Green,VI,35,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_VI,https://www.gutenberg.org/files/63087/63087-h/images/vi_35_m_antique_green.jpg
Antwerp Blue,VIII,45,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_VIII,https://www.gutenberg.org/files/63087/63087-h/images/viii_45_k_antwerp_blue.jpg
Apple Green,XVII,29′,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XVII,https://www.gutenberg.org/files/63087/63087-h/images/xvii_29p___apple_green.jpg
Apricot Buff,XIV,11′,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XIV,https://www.gutenberg.org/files/63087/63087-h/images/xiv_11p_b_apricot_buff.jpg
Apricot Orange,XIV,11′,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XIV,https://www.gutenberg.org/files/63087/63087-h/images/xiv_11p___apricot_orange.jpg
Apricot Yellow,IV,19,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_IV,https://www.gutenberg.org/files/63087/63087-h/images/iv_19_b_apricot_yellow.jpg
Argus Brown,III,13,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_III,https://www.gutenberg.org/files/63087/63087-h/images/iii_13_m_argus_brown.jpg
Argyle Purple,XXXVII,65′′,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXXVII,https://www.gutenberg.org/files/63087/63087-h/images/xxxvii_65pp_b_argyle_purple.jpg
Army Brown,XL,13′′′,i,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XL,https://www.gutenberg.org/files/63087/63087-h/images/xl_13ppp_i_army_brown.jpg
Artemisia Green,XLVII,33′′′′,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLVII,https://www.gutenberg.org/files/63087/63087-h/images/xlvii_33pppp___artemisia_green.jpg
Asphodel Green,XLI,29′′′,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLI,https://www.gutenberg.org/files/63087/63087-h/images/xli_29ppp___asphodel_green.jpg
Aster Purple,XII,67,i,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XII,https://www.gutenberg.org/files/63087/63087-h/images/xii_67_i_aster_purple.jpg
Auburn,II,11,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_II,https://www.gutenberg.org/files/63087/63087-h/images/ii_11_m_auburn.jpg
Auricula Purple,XXVI,69′,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXVI,https://www.gutenberg.org/files/63087/63087-h/images/xxvi_69p_k_auricula_purple.jpg
Avellaneous,XL,17′′′,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XL,https://www.gutenberg.org/files/63087/63087-h/images/xl_17ppp_b_avellaneous.jpg
Azurite Blue,IX,53,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_IX,https://www.gutenberg.org/files/63087/63087-h/images/ix_53_m_azurite_blue.jpg
Barium Yellow,XVI,23′,d,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XVI,https://www.gutenberg.org/files/63087/63087-h/images/xvi_23p_d_barium_yellow.jpg
Baryta Yellow,IV,21,f,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_IV,https://www.gutenberg.org/files/63087/63087-h/images/iv_21_f_baryta_yellow.jpg
Bay,II,7,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_II,https://www.gutenberg.org/files/63087/63087-h/images/ii_7_m_bay.jpg
Begonia Rose,I,1,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_I,https://www.gutenberg.org/files/63087/63087-h/images/i_1_b_begonia_rose.jpg
Benzo Brown,XLVI,13′′′′,i,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLVI,https://www.gutenberg.org/files/63087/63087-h/images/xlvi_13pppp_i_benzo_brown.jpg
Benzol Green,VII,41,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_VII,https://www.gutenberg.org/files/63087/63087-h/images/vii_41___benzol_green.jpg
Berlin Blue,VIII,47,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_VIII,https://www.gutenberg.org/files/63087/63087-h/images/viii_47_m_berlin_blue.jpg
Beryl Blue,VIII,43,f,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_VIII,https://www.gutenberg.org/files/63087/63087-h/images/viii_43_f_beryl_blue.jpg
Beryl Green,XIX,41′,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XIX,https://www.gutenberg.org/files/63087/63087-h/images/xix_41p_b_beryl_green.jpg
Bice Green,XVII,29′,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XVII,https://www.gutenberg.org/files/63087/63087-h/images/xvii_29p_k_bice_green.jpg
Biscay Green,XVII,27′,i,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XVII,https://www.gutenberg.org/files/63087/63087-h/images/xvii_27p_i_biscay_green.jpg
Bishop's Purple,XXXVII,65′′,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXXVII,https://www.gutenberg.org/files/63087/63087-h/images/xxxvii_65pp___bishopps_purple.jpg
Bister,XXIX,15′′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXIX,https://www.gutenberg.org/files/63087/63087-h/images/xxix_15pp_m_bister.jpg
Bittersweet Orange,II,9,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_II,https://www.gutenberg.org/files/63087/63087-h/images/ii_9_b_bittersweet_orange.jpg
Bittersweet Pink,II,9,d,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_II,https://www.gutenberg.org/files/63087/63087-h/images/ii_9_d_bittersweet_pink.jpg
Black,LIII,73,-1,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_LIII,https://www.gutenberg.org/files/63087/63087-h/images/liii_ng_1_black.jpg
Blackish Brown 1,XLV,1′′′′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLV,https://www.gutenberg.org/files/63087/63087-h/images/xlv_1pppp_m_blackish_brown_1.jpg
Blackish Brown 2,XLV,5′′′′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLV,https://www.gutenberg.org/files/63087/63087-h/images/xlv_5pppp_m_blackish_brown_2.jpg
Blackish Brown 3,XLV,9′′′′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLV,https://www.gutenberg.org/files/63087/63087-h/images/xlv_9pppp_m_blackish_brown_3.jpg
Blackish Green-Blue,VIII,43,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_VIII,https://www.gutenberg.org/files/63087/63087-h/images/viii_43_m_blackish_green-blue.jpg
Blackish Green-Gray,LII,35′′′′′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_LII,https://www.gutenberg.org/files/63087/63087-h/images/lii_35ppppp_m_blackish_green-gray.jpg
Blackish Mouse Gray,LI,15′′′′′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_LI,https://www.gutenberg.org/files/63087/63087-h/images/li_15ppppp_m_blackish_mouse_gray.jpg
Blackish Plumbeous,LII,49′′′′′,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_LII,https://www.gutenberg.org/files/63087/63087-h/images/lii_49ppppp_k_blackish_plumbeous.jpg
Blackish Purple,XI,65,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XI,https://www.gutenberg.org/files/63087/63087-h/images/xi_65_m_blackish_purple.jpg
Blackish Red-Purple,XII,67,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XII,https://www.gutenberg.org/files/63087/63087-h/images/xii_67_m_blackish_red-purple.jpg
Blackish Slate,LIII,75,-3,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_LIII,https://www.gutenberg.org/files/63087/63087-h/images/liii_cg_3_blackish_slate.jpg
Blackish Violet,X,59,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_X,https://www.gutenberg.org/files/63087/63087-h/images/x_59_m_blackish_violet.jpg
Blackish Violet-Gray,LII,59′′′′′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_LII,https://www.gutenberg.org/files/63087/63087-h/images/lii_59ppppp_m_blackish_violet-gray.jpg
Blanc's Blue,XX,47′,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XX,https://www.gutenberg.org/files/63087/63087-h/images/xx_47p_k_blancps_blue.jpg
Blanc's Violet,XXIII,59′,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXIII,https://www.gutenberg.org/files/63087/63087-h/images/xxiii_59p_k_blancps_violet.jpg
Blue-Violet,X,55,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_X,https://www.gutenberg.org/files/63087/63087-h/images/x_55___blue-violet.jpg
Blue-Violet Black,XLIX,57′′′′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLIX,https://www.gutenberg.org/files/63087/63087-h/images/xlix_57pppp_m_blue-violet_black.jpg
Bluish Black,XLIX,49′′′′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLIX,https://www.gutenberg.org/files/63087/63087-h/images/xlix_49pppp_m_bluish_black.jpg
Bluish Glaucous,XLII,37′′′,f,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLII,https://www.gutenberg.org/files/63087/63087-h/images/xlii_37ppp_f_bluish_glaucous.jpg
Bluish Gray-Green,XLII,41′′′,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLII,https://www.gutenberg.org/files/63087/63087-h/images/xlii_41ppp___bluish_gray-green.jpg
Bluish Lavender,XXXVI,57′′,d,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXXVI,https://www.gutenberg.org/files/63087/63087-h/images/xxxvi_57pp_d_bluish_lavender.jpg
Bluish Slate-Black,XLVIII,45′′′′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XLVIII,https://www.gutenberg.org/files/63087/63087-h/images/xlviii_45pppp_m_bluish_slate-black.jpg
Bluish Violet,X,57,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_X,https://www.gutenberg.org/files/63087/63087-h/images/x_57___bluish_violet.jpg
Bone Brown,XL,13′′′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XL,https://www.gutenberg.org/files/63087/63087-h/images/xl_13ppp_m_bone_brown.jpg
Bordeaux,XII,71,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XII,https://www.gutenberg.org/files/63087/63087-h/images/xii_71_k_bordeaux.jpg
Bottle Green,XIX,37′,m,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XIX,https://www.gutenberg.org/files/63087/63087-h/images/xix_37p_m_bottle_green.jpg
Bradley's Blue,IX,51,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_IX,https://www.gutenberg.org/files/63087/63087-h/images/ix_51___bradleyps_blue.jpg
Bradley's Violet,XXIII,59′,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XXIII,https://www.gutenberg.org/files/63087/63087-h/images/xxiii_59p___bradleyps_violet.jpg
Brazil Red,I,5,i,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_I,https://www.gutenberg.org/files/63087/63087-h/images/i_5_i_brazil_red.jpg
Bremen Blue,XX,43′,b,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XX,https://www.gutenberg.org/files/63087/63087-h/images/xx_43p_b_bremen_blue.jpg
Brick Red,XIII,5′,k,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XIII,https://www.gutenberg.org/files/63087/63087-h/images/xiii_5p_k_brick_red.jpg
Bright Chalcedony Yellow,XVII,25′,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_XVII,https://www.gutenberg.org/files/63087/63087-h/images/xvii_25p___bright_chalcedony_yellow.jpg
Bright Green-Yellow,V,27,—,https://www.gutenberg.org/files/63087/63087-h/63087-h.htm#Plate_V,https://www.gutenberg.org/files/63087/63087-h/images/v_27___bright_green-yellow.jpg
